,CantonCode,MunicipalityCode
535,AG,4026
536,AG,4259
537,BE,754
538,BE,589
539,VD,5473
540,BL,2843
541,BE,492
542,LU,1145
543,UR,1219
544,BE,401
545,SG,3295
546,SH,2915
547,TG,4826
548,FR,2140
549,BE,424
550,ZH,182
551,VS,6109
552,ZH,6
553,VS,6142
554,BL,2834
555,BE,976
556,GR,3891
557,VD,5930
558,TI,5251
559,GR,3711
560,FR,2174
561,VS,6134
562,TI,5317
563,AG,4221
564,VD,5913
565,JU,6809
566,VS,6158
567,AG,4191
568,ZH,26
569,VS,6283
570,AG,4062
571,VS,6033
572,FR,2066
573,SO,2545
574,FR,2053
575,AG,4022
576,UR,1214
577,BE,980
578,GE,6627
579,AR,3004
580,VD,5860
581,VD,5761
582,AG,4197
583,VD,5556
584,GR,3701
585,NW,1502
586,TG,4616
587,AG,4134
588,FR,2121
589,TI,5146
590,VS,6218
591,ZH,241
592,BL,2893
593,TG,4721
594,GE,6629
595,BL,2782
596,JU,6702
597,AG,4235
598,AG,4286
599,LU,1146
600,SG,3312
601,GR,3637
602,BE,863
603,VD,5742
604,TI,5396
605,BE,612
606,SO,2551
607,VD,5843
608,FR,2051
609,UR,1218
610,ZH,67
611,BE,354
612,BE,985
613,SG,3202
614,TI,5200
615,AR,3036
616,NW,1505
617,BE,500
618,VD,5712
619,BE,959
620,JU,6742
621,AG,4041
622,VS,6032
623,VD,5817
624,BE,382
625,FR,2011
626,LU,1023
627,ZH,246
628,UR,1216
629,AG,4071
630,VD,5680
631,GR,3673
632,JU,6775
633,SG,3252
634,AG,4182
635,BE,617
636,LU,1056
637,VD,5702
638,NE,6511
639,SO,2541
640,BE,951
641,FR,2029
642,FR,2262
643,ZH,57
644,AG,4222
645,ZH,181
646,VD,5655
647,BE,340
648,FR,2211
649,GR,3985
650,LU,1131
651,VD,5861
652,TI,5323
653,VD,5704
654,AG,4132
655,JU,6715
656,VD,5754
657,SO,2445
658,SO,2555
659,AG,4306
660,BE,402
661,BE,495
662,SO,2528
663,VD,5492
664,SZ,1361
665,AG,4230
666,VD,5785
667,SO,2481
668,ZH,219
669,AG,4135
670,VD,5405
671,FR,2162
672,JU,6758
673,ZH,43
674,BE,630
675,GR,3789
676,AR,3034
677,TI,5397
678,SO,2492
679,BL,2832
680,SH,2917
681,FR,2335
682,NW,1503
683,BL,2856
684,VS,6193
685,FR,2261
686,TI,5399
687,JU,6722
688,BE,322
689,BE,359
690,FR,2265
691,FR,2163
692,VS,6035
693,AG,4067
694,VD,5703
695,SG,3256
696,BL,2792
697,ZH,91
698,ZH,95
699,VS,6024
700,TG,4811
701,VD,5934
702,FR,2216
703,TI,5216
704,BE,975
705,VD,5907
706,LU,1085
707,VD,5766
708,TI,5263
709,VS,6008
710,FR,2276
711,AR,3033
712,UR,1211
713,BE,344
714,FR,2338
715,AR,3007
716,FR,2337
717,GR,3733
718,BE,888
719,VS,6203
720,VS,6215
721,UR,1203
722,GR,3952
723,SG,3393
724,BE,957
725,VD,5726
726,AG,4224
727,VD,5458
728,AG,4107
729,BE,381
730,TG,4791
731,GR,3551
732,BL,2791
733,SZ,1366
734,AG,4140
735,GR,3951
736,BE,388
737,VD,5527
738,VS,6057
739,AG,4147
740,BL,2883
741,GR,3752
742,TG,4416
743,BE,449
744,BL,2855
745,UR,1212
746,TI,5049
747,SZ,1373
748,FR,2306
749,SO,2529
750,NW,1506
751,FR,2274
752,BE,622
753,SZ,1365
754,VS,6295
755,AG,4093
756,BE,906
757,VD,5646
758,ZH,13
759,SO,2499
760,FR,2087
761,TI,5287
762,TI,5266
763,SG,3316
764,VD,5922
765,BL,2890
766,AG,4076
767,VS,6159
768,BE,945
769,SH,2971
770,VD,5523
771,SO,2586
772,BE,341
773,TI,5199
774,AG,4142
775,AG,4002
776,ZH,71
777,GR,3945
778,ZH,34
779,GE,6601
780,FR,2323
781,BE,927
782,VD,5803
783,BE,578
784,VD,5821
785,BE,572
786,BE,726
787,GR,3863
788,AG,4061
789,AG,4032
790,BE,941
791,JU,6753
792,GR,3784
793,AR,3037
794,VD,5537
795,AG,4024
796,BE,607
797,GE,6634
798,SO,2425
799,VS,6238
800,SZ,1321
801,LU,1002
802,BE,554
803,GR,3714
804,JU,6807
805,ZG,1710
806,LU,1041
807,ZH,63
808,BE,562
809,TG,4495
810,TG,4881
811,JU,6716
812,VD,5628
813,GE,6620
814,GR,3835
815,VS,6022
816,BE,694
817,VS,6082
818,SO,2535
819,BE,353
820,VS,6246
821,GR,3831
822,ZH,2
823,BL,2882
824,SG,3441
825,SZ,1375
826,BE,762
827,BE,922
828,ZH,136
829,VD,5863
830,AG,4144
831,SH,2974
832,TG,4726
833,SO,2478
834,ZH,5
835,VD,5496
836,FR,2148
837,VD,5514
838,AG,4143
839,VD,5499
840,VD,5885
841,ZH,116
842,BE,745
843,VD,5553
844,SO,2455
845,JU,6709
846,VD,5410
847,SG,3235
848,GR,3954
849,ZH,82
850,BE,587
851,ZH,215
852,NE,6423
853,BL,2867
854,ZH,37
855,SO,2406
856,ZH,27
857,TI,5240
858,BE,432
859,SG,3218
860,FR,2130
861,VD,5516
862,BE,750
863,BE,855
864,BL,2789
865,VD,5472
866,BE,952
867,VD,5480
868,BE,770
869,SO,2430
870,NE,6453
871,VS,6287
872,ZH,33
873,BE,574
874,AG,4023
875,BL,2847
876,AG,4063
877,JU,6808
878,SO,2405
879,TI,5198
880,FR,2237
881,VD,5487
882,SZ,1367
883,VD,5719
884,VD,5933
885,JU,6712
886,SO,2571
887,VD,5909
888,BE,880
889,JU,6751
890,GE,6625
891,VD,5759
892,SG,3341
893,VD,5725
894,FR,2135
895,BE,782
896,LU,1068
897,TG,4656
898,SO,2465
899,AG,4263
900,GR,3542
901,AG,4083
902,VD,5842
903,TG,4545
904,TI,5108
905,GE,6622
906,AG,4208
907,AG,4203
908,VD,5493
909,LU,1094
910,BE,935
911,FR,2129
912,TI,5118
913,BL,2827
914,SG,3232
915,VS,6292
916,BE,497
917,VD,5425
918,TI,5186
919,ZH,137
920,BE,769
921,BS,2702
922,VD,5701
923,FR,2308
924,GR,3544
925,FR,2016
926,GR,3792
927,FR,2160
928,SO,2580
929,TI,5073
930,BE,584
931,GR,3785
932,LU,1140
933,GR,3983
934,VS,6002
935,BL,2785
936,TI,5206
937,VD,5744
938,UR,1205
939,FR,2200
940,BE,403
941,FR,2254
942,VD,5634
943,BE,668
944,VD,5743
945,SO,2472
946,BE,783
947,BE,744
948,FR,2044
949,BE,438
950,GE,6604
951,SZ,1345
952,AG,4313
953,VD,5495
954,TI,5061
955,SZ,1368
956,VD,5637
957,ZH,58
958,LU,1150
959,VS,6291
960,FR,2226
961,AG,4079
962,GR,3786
963,AG,4029
964,TI,5171
965,SH,2952
966,TG,4761
967,AG,4165
968,FR,2234
969,BE,691
970,BL,2823
971,SH,2936
972,LU,1147
973,AG,4226
974,FR,2152
975,VD,5756
976,SO,2616
977,VD,5709
978,BL,2881
979,LU,1123
980,FR,2304
981,VS,6235
982,AG,4255
983,VS,6137
984,VD,5464
985,AG,4206
986,AG,4073
987,BE,993
988,ZH,51
989,AG,4035
990,GR,3721
991,AG,4199
992,ZH,139
993,AG,4100
994,VD,5755
995,TI,5221
996,SO,2471
997,GR,3788
998,TG,4821
999,NE,6434
1000,SO,2621
1001,BE,615
1002,AG,4253
1003,ZH,1
1004,ZH,64
1005,VD,5819
1006,SO,2619
1007,VD,5407
1008,VD,5529
1009,TG,4831
1010,BE,948
1011,AG,4177
1012,VS,6155
1013,VD,5673
1014,BE,943
1015,SG,3272
1016,JU,6741
1017,BE,731
1018,VD,5710
1019,GR,3762
1020,VD,5715
1021,FR,2099
1022,VD,5555
1023,AG,4004
1024,AI,3112
1025,VD,5592
1026,VD,5648
1027,VD,5650
1028,VD,5939
1029,FR,2293
1030,VD,5566
1031,GR,3572
1032,VD,5477
1033,SO,2501
1034,BE,931
1035,LU,1009
1036,AG,4198
1037,ZH,39
1038,AG,4210
1039,TG,4591
1040,NE,6433
1041,AG,4228
1042,VD,5855
1043,BE,585
1044,LU,1086
1045,AG,4204
1046,ZH,216
1047,LU,1067
1048,SO,2457
1049,LU,1082
1050,AG,4110
1051,GR,3953
1052,BE,443
1053,FR,2124
1054,GR,3847
1055,BE,360
1056,BE,716
1057,BE,342
1058,BE,445
1059,GR,3790
1060,TI,5180
1061,VS,6141
1062,JU,6745
1063,VD,5730
1064,BE,870
1065,BL,2861
1066,SO,2402
1067,FR,2097
1068,VD,5613
1069,ZH,59
1070,SO,2553
1071,BE,418
1072,NE,6459
1073,AG,4176
1074,VS,6157
1075,SG,3297
1076,ZH,157
1077,TI,5148
1078,VD,5652
1079,ZH,68
1080,GR,3961
1081,FR,2208
1082,TG,4561
1083,GE,6642
1084,VD,5475
1085,VD,5926
1086,VD,5675
1087,GE,6618
1088,UR,1220
1089,AG,4240
1090,AG,4121
1091,AG,4238
1092,TI,5189
1093,AG,4318
1094,VD,5723
1095,BL,2830
1096,BE,571
1097,SG,3396
1098,LU,1008
1099,SO,2523
1100,FR,2321
1101,BE,739
1102,BE,696
1103,TI,5225
1104,GE,6615
1105,GR,3823
1106,SO,2500
1107,VD,5722
1108,VD,5610
1109,VD,5656
1110,ZH,25
1111,AR,3024
1112,ZG,1706
1113,SO,2424
1114,FR,2145
1115,BE,746
1116,BE,905
1117,SO,2493
1118,AR,3005
1119,SZ,1348
1120,SO,2542
1121,NW,1501
1122,BE,326
1123,ZH,220
1124,BE,448
1125,FR,2294
1126,BE,990
1127,SO,2614
1128,AG,4037
1129,SG,3338
1130,TG,4921
1131,GE,6638
1132,VD,5408
1133,SG,3352
1134,JU,6778
1135,BE,566
1136,BL,2864
1137,BE,903
1138,ZH,86
1139,BE,751
1140,GE,6637
1141,FR,2236
1142,BE,667
1143,JU,6771
1144,GR,3722
1145,VD,5554
1146,AG,4170
1147,BE,409
1148,SO,2527
1149,AG,4305
1150,BL,2824
1151,SO,2464
1152,BE,383
1153,OW,1403
1154,TI,5001
1155,SO,2520
1156,FR,2096
1157,VD,5540
1158,TI,5078
1159,SO,2550
1160,AG,4303
1161,GR,3764
1162,VS,6217
1163,JU,6750
1164,BE,345
1165,VD,5851
1166,VS,6052
1167,VD,5856
1168,FR,2068
1169,VD,5571
1170,VS,6254
1171,VD,5512
1172,ZH,88
1173,BL,2858
1174,BE,603
1175,ZH,3
1176,BE,909
1177,ZH,138
1178,SO,2585
1179,ZH,60
1180,SG,3444
1181,BE,977
1182,BE,553
1183,SZ,1371
1184,SZ,1370
1185,SH,2964
1186,VD,5731
1187,SG,3405
1188,BE,852
1189,TI,5205
1190,AG,4237
1191,ZH,7
1192,BE,761
