Geo Point;Geo Shape;Id_Strassentyp/Weg;Strassenname;Strassennetzhierarchie;Strassennetzhierarchien Beschreibung;Gemeinde;Kategorie;Weg
47.58593349869701, 7.650403489216014;"{""coordinates"": [[7.650294393231759, 47.585737358852775], [7.650319015062243, 47.5857848545415], [7.650344460296667, 47.585832141872615], [7.650370742265946, 47.585879229815056], [7.650516175776424, 47.58612763973197]], ""type"": ""LineString""}";4839;Baselstrasse;HVS;Hauptverkehrsstrassen;Riehen;verkehrsorientierte Strasse;
47.573894437825246, 7.598523421329639;"{""coordinates"": [[7.598685389783982, 47.573875765340375], [7.59866500102105, 47.57388416645356], [7.598642138317684, 47.573891923414465], [7.598613612140061, 47.5738990855682], [7.598594829758206, 47.57390247498404], [7.598567434648396, 47.573905669361], [7.598544538718198, 47.57390678001848], [7.59852158550377, 47.57390651471696], [7.5984987610709, 47.57390487320119], [7.598476251539227, 47.57390187320333], [7.598454203184349, 47.57389754150406], [7.598432828706185, 47.57389189579937], [7.598411650688935, 47.573889721381946], [7.598393117503705, 47.573878684560356], [7.598365052203957, 47.57386221962302], [7.598365012225467, 47.5738621837031]], ""type"": ""LineString""}";4940;Wiesenkreisel;HVS;Hauptverkehrsstrassen;Basel;verkehrsorientierte Strasse;
47.562749605148355, 7.617610019256128;"{""coordinates"": [[7.616814255717328, 47.56297315130519], [7.616861546141114, 47.562925367252745], [7.617295379511432, 47.56248690611627], [7.618499298394061, 47.56303256358403]], ""type"": ""LineString""}";4944;Zeglingerweglein;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.5862441670077, 7.6523718102735625;"{""coordinates"": [[7.65222589236863, 47.58627587830277], [7.652343954019708, 47.58624996673633], [7.652517816408104, 47.58621286335486]], ""type"": ""LineString""}";4945;Gartengasse;;;Riehen;;
47.57489082455594, 7.600732547515187;"{""coordinates"": [[7.601525952309919, 47.57502727470026], [7.601498359672748, 47.5750224926528], [7.601418201403438, 47.57500859249577], [7.60113486935812, 47.57491606523075], [7.600908449987106, 47.574885208630896], [7.600699912935819, 47.57486515511065], [7.600447104088905, 47.57484475797571], [7.600211503019342, 47.574845084848086], [7.600163866068425, 47.574839529832786], [7.600001143712947, 47.57484199467249], [7.599955056398035, 47.57483905458596], [7.599927431875337, 47.57483683540655], [7.599927365422742, 47.57483683549852]], ""type"": ""LineString""}";4967;Wiesendamm-Promenade;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.575164830214284, 7.6026913808098815;"{""coordinates"": [[7.602504801795558, 47.57515118433035], [7.602657252033404, 47.57516192415823], [7.602786747027951, 47.57517190467898], [7.602816927043953, 47.57517522579868], [7.60284738176594, 47.57517711652879], [7.602877964994827, 47.575177577075095]], ""type"": ""LineString""}";4971;Wiesendamm-Promenade;;;Basel;Wege;Waldweg
47.57537866565092, 7.605196915863054;"{""coordinates"": [[7.602877964994827, 47.575177577075095], [7.602991748644495, 47.57517400805034], [7.603016673420664, 47.57517124781035], [7.606876040919354, 47.57553761013825], [7.607515298565346, 47.57560027964831]], ""type"": ""LineString""}";4972;Wiesendamm-Promenade;;;Basel;Wege;Waldweg
47.58024094808503, 7.626265694981581;"{""coordinates"": [[7.624715941095988, 47.579296041654736], [7.624736840482979, 47.57930885122019], [7.624922364662626, 47.57942257635045], [7.625567530857522, 47.579816517518104], [7.626219825941079, 47.58021276393544], [7.626485039621603, 47.58037492394942], [7.626872592825092, 47.5806118748554], [7.626961426403055, 47.580665387444135], [7.627229905291715, 47.58082870962981], [7.627524410852116, 47.58100676556578], [7.627722271235993, 47.5811249270094], [7.627779810550788, 47.581157957235554], [7.627817223176492, 47.581182817908406]], ""type"": ""LineString""}";4979;Wiesendamm-Promenade;;;Riehen;;
47.58317122445582, 7.631119808577095;"{""coordinates"": [[7.6283028533558, 47.58144451706283], [7.628360520881544, 47.581479759230184], [7.62898712590975, 47.581865554127525], [7.629803527795374, 47.58236947170255], [7.63010696848349, 47.58255454836957], [7.630319153015192, 47.58268653201369], [7.630584140965559, 47.58285290992994], [7.630648380421268, 47.58288510924972], [7.63070933351705, 47.582920119975654], [7.630766733821797, 47.58295778066659], [7.631038862648668, 47.58312414574923], [7.631636826500762, 47.583485798515575], [7.632082613051502, 47.58375340257114], [7.632329711199951, 47.58391012899134], [7.632532032632984, 47.584035505610245], [7.632596644984593, 47.584078135859784], [7.632663524589257, 47.58411913444351], [7.632732564939577, 47.584158456566804], [7.632927727969986, 47.58427780068169], [7.633402191487073, 47.58456469710478], [7.633864133654321, 47.58484676497743], [7.633940098351008, 47.58489246925214]], ""type"": ""LineString""}";600512;Wiesendamm-Promenade;;;Riehen;;
47.57468565392259, 7.603111779487843;"{""coordinates"": [[7.602969577265189, 47.57467686880265], [7.603112001401537, 47.574690698008645], [7.603130999266283, 47.57469254187827], [7.60318058450175, 47.57469196822787], [7.603223380026384, 47.57468334580995], [7.603251424661708, 47.574670939888456]], ""type"": ""LineString""}";4984;Wiesendamm-Promenade;;;Basel;Wege;Waldweg
47.57778813772806, 7.5949202214258085;"{""coordinates"": [[7.59476243919115, 47.578005188617766], [7.594769599886089, 47.57799041142797], [7.594894900993832, 47.57784175811136], [7.594952764154052, 47.577748506149874], [7.595008924437315, 47.57765477977596], [7.595063395168693, 47.57756058796783]], ""type"": ""LineString""}";4985;Wiesendamm-Promenade;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.57442602128976, 7.59909491235701;"{""coordinates"": [[7.598198992570547, 47.574361137616286], [7.598227142526772, 47.574361395866326], [7.598319447239349, 47.57436223176354], [7.598439129209179, 47.574371583042016], [7.598567573713755, 47.574391165973246], [7.598623222325323, 47.57440051497386], [7.59867694185097, 47.574409201064505], [7.598698588433657, 47.5744124360439], [7.5987193830567, 47.5744152135118], [7.598739591608672, 47.57441756008447], [7.598759865670122, 47.5744195917849], [7.598780205186708, 47.5744212906257], [7.598800131676095, 47.57442264827074], [7.598820083802593, 47.57442369109835], [7.598840074883252, 47.57442442808394], [7.598862909303603, 47.57442489134688], [7.598885755799592, 47.57442494987315], [7.598908587789857, 47.57442460369928], [7.599524624771302, 47.574454486320874], [7.599763502176575, 47.57446141421205], [7.599789649603069, 47.574463086858636], [7.599812035704804, 47.57446471973265], [7.599839991882097, 47.57446680357564], [7.59986146420782, 47.57446951694546], [7.599927537389159, 47.574462770200746], [7.599968682426196, 47.574462011744274], [7.599992459051635, 47.57446199681533]], ""type"": ""LineString""}";4989;Wiesendamm-Promenade;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.56579354646447, 7.582116656145073;"{""coordinates"": [[7.582322035393949, 47.565914928987446], [7.582236601834144, 47.56586443565335], [7.582205963462843, 47.56584633307992], [7.581948784594026, 47.56569399031052], [7.58192617468651, 47.56568164275915], [7.581909561667517, 47.565675691352425]], ""type"": ""LineString""}";6710;St.Johanns-Platz;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.563435474722475, 7.5992189216700465;"{""coordinates"": [[7.599112923973142, 47.56342142509178], [7.599182864544276, 47.56343269680374], [7.599253831164682, 47.56344050447904], [7.599325438397369, 47.56344482166623]], ""type"": ""LineString""}";6716;Clarastrasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.57052827892554, 7.66005230727102;"{""coordinates"": [[7.660209108045189, 47.57070465438668], [7.660133560871905, 47.570619295053895], [7.65995097618945, 47.57041459495202], [7.659895259741013, 47.570352122696775]], ""type"": ""LineString""}";6726;Habermarkweg;;;Bettingen;;
47.56145631647294, 7.586123966460812;"{""coordinates"": [[7.586179613816494, 47.561417995790386], [7.58606831910513, 47.5614946371555]], ""type"": ""LineString""}";6728;Totentanz;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.561885504251336, 7.5858256729005085;"{""coordinates"": [[7.58606831910513, 47.5614946371555], [7.586075561324097, 47.56150932373156], [7.586080864660131, 47.56152439049536], [7.586084188877681, 47.56153970259241], [7.586085507127585, 47.561555161125845], [7.586084805773312, 47.56157064020099], [7.586082097752711, 47.56158601388933], [7.586077382741307, 47.56160116527287], [7.586070740137985, 47.56161597733257], [7.586062182905761, 47.56163033313345], [7.586051790493582, 47.56164413364372], [7.586039642251373, 47.56165724385671], [7.585941921150211, 47.5617705083331], [7.585839557116497, 47.56188187191642], [7.585732642920229, 47.561991253534075], [7.585652397046799, 47.5620768580121], [7.585576407715798, 47.56216421983508], [7.585518261535669, 47.562236503647256], [7.585504781017114, 47.56225325793424]], ""type"": ""LineString""}";6729;Totentanz;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.562267348520706, 7.585493995997733;"{""coordinates"": [[7.585504781017114, 47.56225325793424], [7.585493963933245, 47.562267346724866], [7.585483253241578, 47.56228147135522]], ""type"": ""LineString""}";6730;Totentanz;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.5674537571559, 7.5675977686080325;"{""coordinates"": [[7.568209590856664, 47.56794479626737], [7.568197094045989, 47.56793164337489], [7.568184265370354, 47.567918634748466], [7.566995748844088, 47.566976437479], [7.566982807704261, 47.566966180910406]], ""type"": ""LineString""}";6736;Dammerkirchstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.56801212934219, 7.617101989810815;"{""coordinates"": [[7.6176461189678, 47.56832879112564], [7.617570543325823, 47.568284802144895], [7.616633421469921, 47.567739447941], [7.616557860825682, 47.5676954672635]], ""type"": ""LineString""}";7631;Tüllingerstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.533666075091766, 7.5881249437642575;"{""coordinates"": [[7.588472890836268, 47.533787237969406], [7.588337661945685, 47.53374613022925], [7.588259640242265, 47.53372240585777], [7.588206912188452, 47.533701517989634], [7.587816093014599, 47.53354668700395], [7.587781207094949, 47.53353286321515]], ""type"": ""LineString""}";7633;Hohe Winde-Steg;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.581884587646464, 7.669623874223885;"{""coordinates"": [[7.668444985977648, 47.58202142150105], [7.668465377091649, 47.58201539143899], [7.668486957752845, 47.58202011545669], [7.668528905753435, 47.58201638115233], [7.668570285805147, 47.5820104085304], [7.66861083213489, 47.582002216104236], [7.668650279164144, 47.581991867355285], [7.668715954624611, 47.581972877773275], [7.668783652637175, 47.58195746363536], [7.668852934879767, 47.58194569775468], [7.668929425778226, 47.581934906869016], [7.669005566106796, 47.581922974430285], [7.669081289477314, 47.58190991855798], [7.669148446094388, 47.58190152034408], [7.669451835390361, 47.58188714057991], [7.669835554347171, 47.581858381428525], [7.670730714468104, 47.58180633357052], [7.670811344741738, 47.58179997605884]], ""type"": ""LineString""}";7635;Steinenweg;;;Riehen;;
47.58179758633929, 7.670841587709617;"{""coordinates"": [[7.670811344741738, 47.58179997605884], [7.670871830677496, 47.58179519661975]], ""type"": ""LineString""}";7636;Steinenweg;;;Riehen;;
47.570474982097416, 7.631358880770515;"{""coordinates"": [[7.630373890464531, 47.57127353617719], [7.630513330145797, 47.571171299945384], [7.630799471701723, 47.57094683098087], [7.631080510352596, 47.57071942878277], [7.631356379897882, 47.57048915645304], [7.632229585876563, 47.569733208118514], [7.632286868721319, 47.56968361150926], [7.632323710413466, 47.56965172150686]], ""type"": ""LineString""}";7639;Im Hirshalm;;;Riehen;;
47.552482154761655, 7.600998894203076;"{""coordinates"": [[7.60102869007771, 47.55240939864966], [7.600976627612931, 47.55253652592557], [7.600969097782768, 47.55255491065017]], ""type"": ""LineString""}";7640;St-Alban-Anlage;HVS;Hauptverkehrsstrassen;Basel;verkehrsorientierte Strasse;
47.552975441795176, 7.600894365921437;"{""coordinates"": [[7.600901451627273, 47.55265578885747], [7.600871062953512, 47.552697589162285], [7.600853096967992, 47.55272230202394], [7.600836147266775, 47.552788555595775], [7.60082831344747, 47.55285558792178], [7.600829673505832, 47.55292282329537], [7.600840212415698, 47.552989677143415], [7.60085983552177, 47.553055591982975], [7.600866929651223, 47.553073038969416], [7.600876307314794, 47.55308998811893], [7.600887875108882, 47.55310630465479], [7.600901552914575, 47.55312185378179], [7.600917220784651, 47.55313650975378], [7.600934772111177, 47.55315016479353], [7.600954047118047, 47.55316270220409], [7.600974899368412, 47.553174023257476], [7.600997169167183, 47.55318403823786], [7.601020656990827, 47.55319266647892], [7.601045203225385, 47.5531998452462], [7.601070595088726, 47.55320550288575], [7.601096633192929, 47.55320960370006]], ""type"": ""LineString""}";7642;St-Alban-Anlage;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.56122563799115, 7.59752238013217;"{""coordinates"": [[7.597832165925943, 47.56054459823976], [7.597790590008047, 47.560655718523876], [7.597673982487165, 47.56090529165354], [7.597235454746923, 47.56183535440805], [7.597205389136236, 47.56190366664623]], ""type"": ""LineString""}";7649;Hammerstrasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.57755867329265, 7.599779487429615;"{""coordinates"": [[7.599721916124925, 47.5774335661118], [7.599731274295951, 47.577451558502794], [7.599754977104896, 47.57749708766524], [7.599775597265771, 47.57754290888157], [7.599783960480892, 47.57756151421261], [7.599808812694388, 47.57762671991954], [7.599815280477661, 47.577647045659496], [7.599821349692023, 47.57766742591216], [7.599826993754563, 47.57768786071432]], ""type"": ""LineString""}";7688;;HLS-A;Anschlüsse an Hochleistungsstrassen;Basel;verkehrsorientierte Strasse;
47.54904041825692, 7.591258249600942;"{""coordinates"": [[7.591396153534308, 47.549125837671696], [7.591337119531393, 47.549088905728425], [7.591135124430058, 47.548964435806425], [7.591119427151943, 47.548956712721356], [7.591119387248467, 47.54895669478607]], ""type"": ""LineString""}";302377;-;;;Basel;Wege;Gasse/Treppe/sonst. Weg
