,Unnamed: 0,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay_en,AccidentHour
185954,185954,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2559378,1203494,NE,6458,2021,6,June,Wednesday,6.0
124227,124227,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2759645,1190600,GR,3901,2017,11,November,Wednesday,13.0
101561,101561,at6,Accident with head-on collision,as2,Accident with severe injuries,False,True,False,rt432,Principal road,2667510,1202749,NW,1510,2016,8,August,Saturday,14.0
185789,185789,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2832001,1201594,GR,3764,2021,6,June,Sunday,11.0
38931,38931,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt432,Principal road,2745276,1269357,TG,4436,2013,2,February,Tuesday,8.0
205306,205306,at2,Accident with rear-end collision,as3,Accident with light injuries,False,True,False,rt433,Minor road,2682320,1248373,ZH,261,2022,7,July,Wednesday,19.0
45663,45663,at3,Accident when turning left or right,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2537901,1152399,VD,5586,2013,7,July,Thursday,17.0
103010,103010,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,Motorway,2557073,1145456,VD,5892,2016,9,September,Sunday,19.0
162424,162424,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2640458,1227781,LU,1123,2020,1,January,Thursday,13.0
83623,83623,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt433,Minor road,2682505,1246990,ZH,261,2015,8,August,Saturday,1.0
72807,72807,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2645513,1243322,AG,4276,2015,1,January,Wednesday,7.0
81657,81657,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt432,Principal road,2685629,1283511,SH,2932,2015,7,July,Tuesday,17.0
58928,58928,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt433,Minor road,2651746,1238464,AG,4140,2014,4,April,Sunday,14.0
74979,74979,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,Motorway,2605015,1207765,BE,551,2015,3,March,Thursday,16.0
205268,205268,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt433,Minor road,2683394,1247549,ZH,261,2022,7,July,Wednesday,9.0
20954,20954,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,True,rt433,Minor road,2498232,1115500,GE,6628,2012,2,February,Tuesday,22.0
